title,url,location,city,country
Literary Tourism: Martha‰Ûªs Vineyard,https://bookriot.com/2016/10/16/literary-tourism-marthas-vineyard/,Martha‰Ûªs Vineyard,Martha's Vinyard,US
Literary Tourism: Morocco,https://bookriot.com/2016/10/09/literary-tourism-morocco/,Morocco,,Morocco
Literary Tourism: Marfa & Greater West Texas,https://bookriot.com/2016/09/25/literary-tourism-marfa-greater-west-texas/,Marfa & Greater West Texas,Marfa,US
"Literary Tourism: Melbourne, Australia",https://bookriot.com/2016/09/18/literary-tourism-melbourne-australia/,"Melbourne, Australia",Melbourne,Australia
"Literary Tourism: Bookish History in New Orleans, LA",https://bookriot.com/2016/09/04/literary-tourism-bookish-history-new-orleans-la/,"Bookish History in New Orleans, LA",New Orleans,US
Literary Tourism: The University of Iowa,https://bookriot.com/2016/08/28/literary-tourism-university-iowa/,The University of Iowa,Iowa,US
"Literary Tourism: Cincinnati, Ohio",https://bookriot.com/2016/08/21/literary-tourism-cincinnati-ohio/,"Cincinnati, Ohio",Cincinnati,US
Literary Tourism: Metro Manila,https://bookriot.com/2016/08/14/literary-tourism-metro-manila/,Metro Manila,Manila,Philipines
"Literary Tourism: Montpelier, VT",https://bookriot.com/2016/08/07/literary-tourism-montpelier-vt/,"Montpelier, VT",Montpelier,US
"Literary Tourism: York, United Kingdom",https://bookriot.com/2016/07/31/literary-tourism-york-united-kingdom/,"York, United Kingdom",York,UK
"Literary Tourism: Lima, Peru",https://bookriot.com/2016/07/24/literary-tourism-lima-peru/,"Lima, Peru",Lima,Peru
Literary Tourism: The Adirondacks,https://bookriot.com/2016/07/17/literary-tourism-adirondacks/,The Adirondacks,The Adirondacks,US
"Literary Tourism: Montclair, New Jersey",https://bookriot.com/2016/06/26/literary-tourism-montclair-new-jersey/,"Montclair, New Jersey",Montclair,US
"Literary Tourism: Indianapolis, Indiana",https://bookriot.com/2016/06/19/literary-tourism-indianapolis-indiana/,"Indianapolis, Indiana",Indianapolis,US
"Literary Tourism: Murals of Adorable Oak Park, IL",https://bookriot.com/2016/06/12/literary-tourism-murals-adorable-oak-park-il/,"Murals of Adorable Oak Park, IL",Oak Park,US
Literary Tourism: Nantucket,https://bookriot.com/2016/06/05/literary-tourism-nantucket/,Nantucket,Nantucket,US
Literary Tourism: Loud Library Collections and Rockin‰Ûª Books,https://bookriot.com/2016/05/29/literary-tourism-loud-library-collections-rockin-books/,Loud Library Collections and Rockin‰Ûª Books,,world
The Tote Bags of Book Expo America,https://bookriot.com/2016/05/18/the-tote-bags-of-book-expo-america/,The Tote Bags of Book Expo America,,US
Discovering Hemingway in Cuba,https://bookriot.com/2016/05/10/discovering-hemingway-cuba/,Discovering Hemingway in Cuba,,Cuba
The Book Riot Guide to Chicago for Book Expo America,https://bookriot.com/2016/05/10/the-book-riot-guide-to-chicago/,The Book Riot Guide to Chicago for Book Expo America,,US
Literary Tourism: Istanbul,https://bookriot.com/2016/04/10/literary-tourism-istanbul/,Istanbul,Istanbul,Turkey
Literary Tourism: Providence,https://bookriot.com/2016/03/27/literary-tourism-providence/,Providence,Providence,US
Literary Tourism: MontrÌ©al,https://bookriot.com/2016/02/28/literary-tourism-montreal/,MontrÌ©al,Montreal,Canada
Literary Tourism: Puerto Rico,https://bookriot.com/2016/02/21/literary-tourism-puerto-rico/,Puerto Rico,Puerto Rico,US
Literary Tourism: San Francisco,https://bookriot.com/2016/01/24/literary-tourism-san-francisco/,San Francisco,San Francisco,US
Literary Tourism: Ireland Outside of Dublin,https://bookriot.com/2016/01/17/literary-tourism-ireland-outside-dublin/,Ireland Outside of Dublin,Dublin,UK
Literary Tourism: Toronto (Again!),https://bookriot.com/2015/12/19/literary-tourism-toronto-2/,Toronto (Again!),Toronto,Canda
"Literary Tourism: Alnwick, United Kingdom",https://bookriot.com/2015/12/13/literary-tourism-alnwick-united-kingdom/,"Alnwick, United Kingdom",Alnwick,UK
"Literary Tourism: Salem, Massachusetts",https://bookriot.com/2015/12/06/literary-tourism-salem-massachusetts/,"Salem, Massachusetts",Salem,US
"Literary Tourism: Hartford, Connecticut",https://bookriot.com/2015/11/22/literary-tourism-hartford-connecticut/,"Hartford, Connecticut",Hartford,US
Literary Tourism: Dublin,https://bookriot.com/2015/11/15/literary-tourism-dublin/,Dublin,Dublin,UK
Literary Tourism: Philadelphia Suburbs,https://bookriot.com/2015/11/01/literary-tourism-philadelphia-suburbs/,Philadelphia Suburbs,Philadelphia,US
Literary Tourism: Traveling Through West Virginia,https://bookriot.com/2015/10/25/literary-tourism-traveling-west-virginia/,Traveling Through West Virginia,,US
"Literary Tourism: St. Louis, Missouri",https://bookriot.com/2015/10/11/literary-tourism-st-louis-missouri/,"St. Louis, Missouri",St. Louis,US
"Literary Tourism: Sydney, Australia",https://bookriot.com/2015/10/04/literary-tourism-sydney/,"Sydney, Australia",Sydney,Australia
A MIME ORDER Inspired Tour of London,https://bookriot.com/2015/09/27/mime-order-tour/,A MIME ORDER Inspired Tour of London,,UK
"Literary Tourism: Memphis, Tennessee",https://bookriot.com/2015/09/20/literary-tourism-memphis-tennessee/,"Memphis, Tennessee",Memphis,US
Literary Tourism: Sherlock Holmes,https://bookriot.com/2015/08/30/literary-tourism-sherlock-holmes/,Sherlock Holmes,London,UK
Literary Tourism: Los Angeles,https://bookriot.com/2015/08/23/literary-tourism-los-angeles/,Los Angeles,Los Angeles,US
Literary Tourism: Fresno and California‰Ûªs Central Valley,https://bookriot.com/2015/08/16/literary-tourism-fresno-californias-central-valley/,Fresno and California‰Ûªs Central Valley,Fresno,US
"Literary Tourism: Gainesville, Florida",https://bookriot.com/2015/08/09/literary-tourism-gainesville-florida/,"Gainesville, Florida",Gainesville,US
"Literary Tourism: Rio de Janeiro, Brazil",https://bookriot.com/2015/08/02/literary-tourism-rio-de-janeiro-brazil/,"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil
Literary Tourism: Mexico,https://bookriot.com/2015/07/26/literary-tourism-mexico/,Mexico,Mexico City,Mexico
Done With Dickens: Books About Life In Contemporary London,https://bookriot.com/2015/07/22/done-dickens-books-life-contemporary-london/,Done With Dickens: Books About Life In Contemporary London,,UK
"Literary Tourism: Oak Park, Illinois",https://bookriot.com/2015/07/19/literary-tourism-oak-park-illinois/,"Oak Park, Illinois",Oak Park,US
"Literary Tourism: Amsterdam, The Netherlands",https://bookriot.com/2015/07/12/literary-tourism-amsterdam-netherlands/,"Amsterdam, The Netherlands",Amsterdam,Netherlands
Literary Tourism: Southern Literary Trail,https://bookriot.com/2015/07/06/literary-tourism-southern-literary-trail-2/,Southern Literary Trail,,US
"Literary Tourism: Provo, Utah",https://bookriot.com/2015/06/28/literary-tourism-provo-utah/,"Provo, Utah",Provo,US
"Literary Tourism: The Huntington Library in Los Angeles, CA",https://bookriot.com/2015/06/21/literary-tourism-huntington-library-los-angeles-ca/,"The Huntington Library in Los Angeles, CA",Los Angeles,US
"Literary Tourism: Champaign-Urbana, Illinois",https://bookriot.com/2015/05/17/literary-tourism-champaign-urbana-illinois/,"Champaign-Urbana, Illinois",,US
Literary Tourism: Israel,https://bookriot.com/2015/05/10/literary-tourism-israel/,Israel,,Israel
Literary Tourism: Iowa,https://bookriot.com/2015/05/03/literary-tourism-iowa/,Iowa,Iowa,US
Literary Tourism: American Author Museums,https://bookriot.com/2015/04/19/literary-tourism-american-author-museums/,American Author Museums,,US
"Literary Tourism: Classic Charlottesville, Virginia",https://bookriot.com/2015/04/12/literary-tourism-classic-charlottesville-virginia/,"Classic Charlottesville, Virginia",,US
Literary Tourism: Southern Literary Trail,https://bookriot.com/2015/03/29/literary-tourism-southern-literary-trail/,Southern Literary Trail,,US
"Literary Tourism: Galveston, TX",https://bookriot.com/2015/03/08/literary-tourism-galveston-tx/,"Galveston, TX",Galveston,US
"Literary Tourism: Venice, Italy",https://bookriot.com/2015/02/15/literary-tourism-venice-italy/,"Venice, Italy",Venice,Italy
"Literary Tourism:  St. Petersburg, Russia",https://bookriot.com/2015/02/01/literary-tourism-st-petersburg-russia/," St. Petersburg, Russia",St. Petersburg,Russia
Literary Tourism: Philadelphia,https://bookriot.com/2015/01/25/literary-tourism-philadelphia/,Philadelphia,Philadelphia,US
Literary Tourism: Stockholm,https://bookriot.com/2015/01/18/literary-tourism-stockholm/,Stockholm,Stockholm,Sweden
Literary Tourism: Real Landmarks Made Famous By Fiction,https://bookriot.com/2015/01/11/real-landmarks-famous-fiction/,Real Landmarks Made Famous By Fiction,,world
"Literary Tourism: Bozeman, Montana",https://bookriot.com/2014/12/21/literary-tourism-bozeman-montana/,"Bozeman, Montana",Bozeman,US
"Literary Tourism: Pittsburgh, PA",https://bookriot.com/2014/12/07/literary-tourism-bookish-finds-pittsburgh/,"Pittsburgh, PA",Pittsburgh,US
"Literary Tourism: Jamaica Plain, MA",https://bookriot.com/2014/11/30/literary-tourism-jamaica-plain-ma/,"Jamaica Plain, MA",Jamaica Plain,US
Literary Tourism: Toronto,https://bookriot.com/2014/11/23/literary-tourism-toronto/,Toronto,Toronto,Canada
Wizarding Tourism: Harry Potter Experiences Around the World,https://bookriot.com/2014/11/21/wizarding-tourism-harry-potter-experiences-around-world/,Wizarding Tourism: Harry Potter Experiences Around the World,,world
Literary Tourism: Alaska,https://bookriot.com/2014/11/16/literary-tourism-alaska/,Alaska,,US
"Literary Tourism: Phoenix, Arizona",https://bookriot.com/2014/11/09/literary-tourism-phoenix-arizona/,"Phoenix, Arizona",Phoenix,US
Literary Tourism: Ohio,https://bookriot.com/2014/11/02/literary-tourism-ohio/,Ohio,,US
Literary Tourism: Mississippi‰Ûªs I-55,https://bookriot.com/2014/10/26/literary-tourism-mississippis-55/,Mississippi‰Ûªs I-55,,US
"Literary Tourism: Las Vegas, Nevada",https://bookriot.com/2014/10/12/literary-tourism-las-vegas-nevada/,"Las Vegas, Nevada",Las Vegas,US
Literary Tourism: Antarctica,https://bookriot.com/2014/10/05/literary-tourism-antarctica/,Antarctica,,Antarctica
Literary Tourism: Lowcountry Literary Roadtrip,https://bookriot.com/2014/09/28/literary-tourism-lowcountry-literary-roadtrip/,Lowcountry Literary Roadtrip,,
Literary Tourism: Tokyo,https://bookriot.com/2014/09/21/literary-tourism-tokyo/,Tokyo,Tokyo,Japan
"Literary Tourism: Oxford, England",https://bookriot.com/2014/09/14/literary-tourism-oxford-england/,"Oxford, England",Oxford,UK
Literary Tourism: Portugal,https://bookriot.com/2014/09/07/literary-tourism-portugal/,Portugal,,Portugal
Literary Tourism: The Great Plains,https://bookriot.com/2014/08/31/literary-tourism-great-plains/,The Great Plains,,US
"Literary Tourism: Tucson, Arizona",https://bookriot.com/2014/08/24/literary-tourism-tucson-arizona/,"Tucson, Arizona",Tucson,US
Literary Tourism: Upper East Tennessee,https://bookriot.com/2014/08/17/literary-tourism-knoxville-tn/,Upper East Tennessee,,US
"Literary Tourism: Children‰Ûªs Fairyland in Oakland, CA",https://bookriot.com/2014/08/10/literary-tourism-childrens-fairyland-oakland-ca/,"Children‰Ûªs Fairyland in Oakland, CA",,US
Literary Tourism: Maine,https://bookriot.com/2014/08/03/literary-tourism-maine/,Maine,Maine,US
Literary Tourism: Seattle,https://bookriot.com/2014/07/27/literary-tourism-seattle/,Seattle,Seattle,US
"Literary Tourism: Louisville, Kentucky",https://bookriot.com/2014/07/13/literary-tourism-louisville-kentucky/,"Louisville, Kentucky",Louisville,US
"Literary Tourism: Lawrence, Kansas",https://bookriot.com/2014/06/29/literary-tourism-lawrence-kansas/,"Lawrence, Kansas",Lawrence,US
Literary Tourism | Vermont,https://bookriot.com/2014/06/01/literary-tourism-vermont/,Literary Tourism | Vermont,,US
Literary Tourism: Boston and Cambridge,https://bookriot.com/2014/05/11/literary-tourism-boston-cambridge/,Boston and Cambridge,Boston,US
"Literary Tourism: Norman, Oklahoma",https://bookriot.com/2014/05/04/literary-tourism-norman-oklahoma/,"Norman, Oklahoma",Norman,US
Literary Tourism: Michigan‰Ûªs Upper Peninsula,https://bookriot.com/2014/04/27/literary-tourism-michigans-upper-peninsula/,Michigan‰Ûªs Upper Peninsula,,US
"Literary Tourism: Richmond, Virginia",https://bookriot.com/2014/04/20/literary-tourism-richmond-virginia/,"Richmond, Virginia",Richmond,US
"Literary Tourism: Baltimore, Maryland",https://bookriot.com/2014/04/13/literary-tourism-baltimore-maryland/,"Baltimore, Maryland",Baltimore,US
Literary Tourism: 19th Century Paris,https://bookriot.com/2014/04/06/literary-tourism-19th-century-paris/,19th Century Paris,Paris,Francr
"Literary Tourism: Houston, Texas",https://bookriot.com/2014/03/30/literary-tourism-houston-texas/,"Houston, Texas",Houston,US
Literary Tourism: Raleigh ‰ÛÒ Chapel Hill ‰ÛÒ Durham,https://bookriot.com/2014/03/23/literary-tourism-raleigh-chapel-hill-durham/,Raleigh ‰ÛÒ Chapel Hill ‰ÛÒ Durham,,
Literary Tourism: Michigan‰Ûªs Lower Peninsula,https://bookriot.com/2014/03/16/literary-tourism-michigans-lower-peninsula/,Michigan‰Ûªs Lower Peninsula,,US
Literary Tourism: Berlin,https://bookriot.com/2014/03/09/literary-tourism-berlin/,Berlin,Berlin,Germany
Literary Tourism: Iceland,https://bookriot.com/2014/03/02/literary-tourism-iceland/,Iceland,,Iceland
Literary Tourism: Wyoming,https://bookriot.com/2014/02/23/literary-tourism-wyoming/,Wyoming,Wyoming,US
Literary Tourism: A Book Lover‰Ûªs Guide to the Twin Cities,https://bookriot.com/2014/02/16/literary-tourism-book-lovers-guide-twin-cities/,A Book Lover‰Ûªs Guide to the Twin Cities,,
"Literary Tourism: Taos, New Mexico",https://bookriot.com/2014/02/09/literary-tourism-taos-new-mexico/,"Taos, New Mexico",Taos,US
Literary Tourism: A Book Lover‰Ûªs Guide to Road Tripping Up California‰Ûªs Coast,https://bookriot.com/2014/02/02/literary-tourism-book-lovers-guide-road-tripping-californias-coast/,A Book Lover‰Ûªs Guide to Road Tripping Up California‰Ûªs Coast,,US
"Literary Tourism: A Book Lover‰Ûªs Guide to Washington, DC",https://bookriot.com/2014/01/19/literary-tourism-book-lovers-guide-to-washington-dc/,"A Book Lover‰Ûªs Guide to Washington, DC",Washington D.C.,US
Literary Tourism: A Book Lover‰Ûªs Guide to Colorado‰Ûªs Front Range,https://bookriot.com/2013/12/22/literary-tourism-book-lovers-guide-colorados-front-range/,A Book Lover‰Ûªs Guide to Colorado‰Ûªs Front Range,,US
"A Literary Tour of Madison, Wisconsin",https://bookriot.com/2013/12/15/literary-tour-madison-wisconsin/,"A Literary Tour of Madison, Wisconsin",,US
"Literary Tourism ‰ÛÒ Atlanta, Georgia and The Margaret Mitchell House",https://bookriot.com/2013/12/08/literary-tourism-atlanta-georgia-margaret-mitchell-house/,"Literary Tourism ‰ÛÒ Atlanta, Georgia and The Margaret Mitchell House",,US
"Literary Tourism: A Book Lover‰Ûªs Guide to New Orleans, LA",https://bookriot.com/2013/11/24/literary-tourism-book-lovers-guide-new-orleans-la/,"A Book Lover‰Ûªs Guide to New Orleans, LA",,US
"Literary Tourism: A Book Lover‰Ûªs Guide to Austin, Texas",https://bookriot.com/2013/11/17/literary-tourism-book-lovers-guide-austin-texas/,"A Book Lover‰Ûªs Guide to Austin, Texas",,US
Literary Tourism: A Book Lover‰Ûªs Guide to Portland,https://bookriot.com/2013/11/10/literary-tourism-book-lovers-guide-portland/,A Book Lover‰Ûªs Guide to Portland,,US
"A Literary Tour Of Oxford, Mississippi",https://bookriot.com/2013/11/03/literary-tour-oxford-mississippi/,"A Literary Tour Of Oxford, Mississippi",Oxford,US
"Literary Tourism: Fredericton, New Brunswick",https://bookriot.com/2013/10/27/literary-tourism-fredericton-new-brunswick/,"Fredericton, New Brunswick",Fredericton,Canada
